Nomes,P1,P2,P3
Luana Cavalcanti,5.7,4.2,5.2
Paulo Cunha,7.3,4.5,4
Vitor Gomes,6.4,7.7,6.6
Anna Barros,8.1,6.7,9
Antônio Correia,9.8,8.9,9.2
Fernanda Araujo,4.1,4.6,3.8
Vinícius Pereira,9,8.5,7.4
Sophia Cavalcanti,9.3,9.1,8.6
Giovanna Pinto,7.4,6.6,6
Rafaela Goncalves,5.8,7.6,6.3
Sarah Barros,2.3,4.1,3.3
Paulo Souza,5.8,6.6,4
Giovana Melo,7.6,9.8,8
Bruno Barbosa,7,6.5,7.2
Tiago Gomes,8.6,7.6,8
José Oliveira,4.1,6.6,5.4
Eduardo Araujo,7.6,7.2,6.3
Rafaela Ferreira,6.6,4.3,5.8
Evelyn Souza,6.7,9.3,9.9
Ana Alves,2.9,4.4,5.8
